Nested Sampling Global Log-Evidence           :   -0.692263210929875896E+02  +/-    0.174087232654438429E+00
Nested Importance Sampling Global Log-Evidence:   -0.694708683043284054E+02  +/-    0.176825688380645510E-01

Dim No.       Mean        Sigma
   1    0.197944150991988632E+01    0.561880447003199196E-01
   2    0.110330083078504826E+01    0.329073986312227451E+00
   3   -0.166170161586192237E-01    0.555154841057679330E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.197428890709940674E+01
   2    0.114887193916295516E+01
   3   -0.373171101264091476E-01

MAP Parameters
Dim No.        Parameter
   1    0.197428890709940674E+01
   2    0.114887193916295516E+01
   3   -0.373171101264091476E-01
